Date,Code,CompanyName,CompanyNameEnglish,Sector17Code,Sector17CodeName,Sector33Code,Sector33CodeName,ScaleCategory,MarketCode,MarketCodeName
2023-05-10,77190,東京衡機,TOKYO KOKI CO.LTD.,9,電機・精密,3750,精密機器,-,0112,スタンダード
2023-05-10,77210,東京計器,TOKYO KEIKI INC.,9,電機・精密,3750,精密機器,TOPIX Small 2,0111,プライム
2023-05-10,77220,国際計測器,"KOKUSAI CO.,LTD.",9,電機・精密,3750,精密機器,-,0112,スタンダード
2023-05-10,77230,愛知時計電機,"Aichi Tokei Denki Co.,Ltd.",9,電機・精密,3750,精密機器,TOPIX Small 2,0111,プライム
2023-05-10,77250,インターアクション,INTER ACTION Corporation,9,電機・精密,3750,精密機器,TOPIX Small 2,0111,プライム
2023-05-10,77260,黒田精工,KURODA PRECISION INDUSTRIES LTD.,8,機械,3600,機械,-,0112,スタンダード
2023-05-10,77270,オーバル,OVAL Corporation,9,電機・精密,3750,精密機器,TOPIX Small 2,0111,プライム
2023-05-10,77290,東京精密,"TOKYO SEIMITSU CO.,LTD.",9,電機・精密,3750,精密機器,TOPIX Small 1,0111,プライム
2023-05-10,77300,マニー,"MANI,INC.",9,電機・精密,3750,精密機器,TOPIX Mid400,0111,プライム
2023-05-10,77310,ニコン,NIKON CORPORATION,9,電機・精密,3750,精密機器,TOPIX Mid400,0111,プライム
2023-05-10,77320,トプコン,TOPCON CORPORATION,9,電機・精密,3750,精密機器,TOPIX Mid400,0111,プライム
2023-05-10,77330,オリンパス,OLYMPUS CORPORATION,9,電機・精密,3750,精密機器,TOPIX Large70,0111,プライム
2023-05-10,77340,理研計器,"RIKEN KEIKI CO.,LTD.",9,電機・精密,3750,精密機器,TOPIX Small 1,0111,プライム
2023-05-10,77350,ＳＣＲＥＥＮホールディングス,"SCREEN Holdings Co.,Ltd.",9,電機・精密,3650,電気機器,TOPIX Mid400,0111,プライム
2023-05-10,77390,キヤノン電子,CANON ELECTRONICS INC.,9,電機・精密,3650,電気機器,TOPIX Small 2,0111,プライム
2023-05-10,77400,タムロン,"Tamron Co.,Ltd.",9,電機・精密,3750,精密機器,TOPIX Small 1,0111,プライム
